Exposure,Outcome,G_hat
ENSG00000175756,ENSG00000004487,-0.03362421431527395
ENSG00000175756,ENSG00000133226,-0.01655843803637107
ENSG00000175756,ENSG00000241468,0.02728499012835545
ENSG00000242485,ENSG00000175756,0.0790042350311719
ENSG00000242485,ENSG00000133226,-0.05756457688790311
ENSG00000242485,ENSG00000152082,-0.016404728400350992
ENSG00000242485,ENSG00000144381,0.020535504930390726
ENSG00000242485,ENSG00000114686,0.0801704099719444
ENSG00000242485,ENSG00000171421,0.021354953552586025
ENSG00000242485,ENSG00000113013,0.04454160819755223
ENSG00000242485,ENSG00000168090,-0.01623697536788057
ENSG00000242485,ENSG00000120533,-0.05234076671083705
ENSG00000242485,ENSG00000147677,-0.019330988419488604
ENSG00000242485,ENSG00000147684,0.02738227701323186
ENSG00000242485,ENSG00000136938,0.037860218842824235
ENSG00000242485,ENSG00000149136,-0.017090964855624627
ENSG00000242485,ENSG00000111615,-0.028046534199096123
ENSG00000242485,ENSG00000149923,0.02425167820444028
ENSG00000242485,ENSG00000167522,-0.018360061570812276
ENSG00000242485,ENSG00000130816,0.06795141074353567
ENSG00000242485,ENSG00000126756,0.05291368053460899
ENSG00000160075,ENSG00000196531,0.05538694647468596
ENSG00000116251,ENSG00000133226,0.04481109974803585
ENSG00000116251,ENSG00000142864,0.025963313652949002
ENSG00000116251,ENSG00000144381,0.031083019466776447
ENSG00000116251,ENSG00000114391,0.0181776205796192
ENSG00000116251,ENSG00000174953,-0.017817411282946644
ENSG00000116251,ENSG00000114850,0.2048024904746585
ENSG00000116251,ENSG00000163319,-0.01844851271992775
ENSG00000116251,ENSG00000106355,0.029638488556663692
ENSG00000116251,ENSG00000147604,0.038649463711828175
ENSG00000116251,ENSG00000161016,0.021922457298008985
ENSG00000116251,ENSG00000136930,-0.016254068872421288
ENSG00000116251,ENSG00000182481,-0.01947805862526494
ENSG00000116251,ENSG00000186010,0.04593329010000032
ENSG00000116251,ENSG00000128228,-0.01612765878871901
ENSG00000074800,ENSG00000157916,0.015123661504947131
ENSG00000074800,ENSG00000090273,0.019401999819715132
ENSG00000074800,ENSG00000090621,0.017233820075101096
ENSG00000074800,ENSG00000117395,0.03984029701870702
ENSG00000074800,ENSG00000142864,-0.0704421572051109
ENSG00000074800,ENSG00000143742,0.022011888322099802
ENSG00000074800,ENSG00000173726,0.042115245911705713
ENSG00000074800,ENSG00000143977,-0.02631417669229545
ENSG00000074800,ENSG00000144029,0.023121948854021548
ENSG00000074800,ENSG00000152082,-0.016912585977478276
ENSG00000074800,ENSG00000144381,0.03800086720498341
ENSG00000074800,ENSG00000188846,-0.018739869887376304
ENSG00000074800,ENSG00000162244,-0.027801443990361465
ENSG00000074800,ENSG00000173230,-0.02070758418335105
